athlete_name,gender
Hettinger Henrik,M
Maier Simon,M
Genda Attila,M
Weishäuptl Miriam,W
Berkmann Christian,M
Irnich Norbert,M
Herdle Philipp,M
Nicola Leonardo,M
Faist Erich,M
Aase Kolbjörn,M
Remer Jörg,M
Mannarino Davide,M
Buschka Volker,M
Lueb Florian,M
Schürholz Florian,M
Ansorge Thomas,M
Ratzel Oliver,M
Amrami Javin,M
Flum Thomas,M
Mirza Muhammad Jehanzeb,M
Wydra Sven,M
Overzier Klaus,M
Marotta Viola,W
Schierl Frederike,W
Schultze Olaf,M
Laudage Jens,M
Doll Emil,M
Herzgsell Franz,M
Mürb Dominik,M
Schmidt Maike,W
Frank Jennifer,W
Uhlmann Paula,W
Groß Ansgar,M
Mastromarino Sara,W
Nitzer Robin,M
Huber Tobias,M
Bergmann Nils,M
Bachmann Dennis,M
Döhler Erik,M
Herold Felix,M
Scholl Tobias,M
Luft Viktor,M
Weishäupl Jan,M
Wörner Dr. Bertold,M
Fromme Simon,M
Schmähl Luca,M
Bertsch Robin,M
Keiser Myriam,W
Nagel Benjamin,M
Parisek Mira,W
Mayer Daniel,M
Köpke Sven,M
Kobayashi Tomas,M
Rex Stefan,M
Unterreitmeier Franziska,W
Hermle Ellen,W
Hurth Tessa,W
Christ Tobias,M
Camminady Thomas,M
Kistner Sven,M
Jessen Tom,M
Deger Manfred,M
Halter Kathrin,W
Erlacher Katharina,W
Becker Louisa,W
Gempper Verena,W
Warmer Nicole,W
Kerls Branigan,M
